"名称","状态","入接口","发布服务器","源IP符合条件","目的IP地址转换条件","指定协议","映射目的IP地址","映射目的端口范围"
"联通兰德华电器20150909-gby","启用","联通","启用","ALL","123.132.252.11-123.132.252.11","TCP(0)to(3489-3489,2383-2383,3309-3309,4522-4522,4527-4527,4630-4630,4631-4631,6000-6000,6666-6666,6868-6868,7000-7000,7777-7777,8081-8081,8090-8090,8072-8072,8217-8217,8631-8631,8888-8888,8951-8951,8983-8983,9023-9023,9088-9088,9909-9909,9943-9943,9999-9999,11211-11211,11523-11523,11521-11521,11520-11520,14417-14417,27017-27017,29917-29917,47001-47001,49152-49152,49154-49154,49153-49153,49155-49155,49160-49160,49194-49194,49308-49308,50362-50362,53914-53914,53915-53915)","10.10.102.44-10.10.102.44","3489-3489,2383-2383,3309-3309,4522-4522,4527-4527,4630-4630,4631-4631,6000-6000,6666-6666,6868-6868,7000-7000,7777-7777,8081-8081,8090-8090,8072-8072,8217-8217,8631-8631,8888-8888,8951-8951,8983-8983,9023-9023,9088-9088,9909-9909,9943-9943,9999-9999,11211-11211,11523-11523,11521-11521,11520-11520,14417-14417,27017-27017,29917-29917,47001-47001,49152-49152,49154-49154,49153-49153,49155-49155,49160-49160,49194-49194,49308-49308,50362-50362,53914-53914,53915-53915"
"临港干部学习81端口","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(81-81,63342-63342)","10.20.24.89-10.20.24.89","81-81,22-22"
"工业云平台测试3楼307-20150522","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(65389-65389,9880-9899)","10.10.102.45-10.10.102.45","3389-3389,9880-9899"
"银桥网络科技有限公司-电信174","启用","电信","启用","ALL","58.57.53.174-58.57.53.174","TCP(0)to(60089-60089,211-211,6868-6868,63074-63074,7070-7070)","10.10.102.29-10.10.102.29","3389-3389,211-211,6868-6868,63074-63074,7070-7070"
"联通华丰国际食品追溯系统20150913-gby","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(64450-64450,8096-8096,24161-24162)","10.20.24.66-10.20.24.66","3389-3389,8096-8096,24161-24162"
"临沂市委党校学习平台-20150625","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(1589-1589,8810-8810,8811-8811)","10.10.102.15-10.10.102.15","3389-3389,8810-8810,3306-3306"
"华为FusionCompute平台","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(8443-8443,9876-9876)","10.20.24.15-10.20.24.15","8443-8443,9876-9876"
"华为FusionManager平台","启用","联通","启用","ALL","123.132.252.7-123.132.252.7","TCP(0)to(643-643,443-443,543-543)","10.20.24.20-10.20.24.20","643-643,443-443,543-543"
"华为Manageone平台","启用","联通","启用","ALL","123.132.252.2-123.132.252.2","TCP(0)to(443-443,543-543,643-643,6081-6081)","10.20.24.26-10.20.24.26","443-443,543-543,643-643,6081-6081"
"可信云众测1——勿删","启用","联通","启用","ALL","123.132.252.15-123.132.252.15","TCP(0)to(22-22)","10.20.24.102-10.20.24.102","22-22"
